origin,destination,year,students
Jordan,Qatar,2021,1321
Iraq,Ukraine,2017,1320
Malaysia,Ireland,2019,1319
Turkey,Bulgaria,2019,1317
Turkey,Poland,2020,1317
Yemen,Jordan,2017,1317
Lebanon,Saudi Arabia,2018,1315
Iran,Malaysia,2017,1313
Pakistan,Italy,2017,1312
Jordan,Germany,2019,1307
Qatar,United States of America,2018,1306.84751
Turkey,North Macedonia,2018,1304
Cambodia,Australia,2018,1302
Uzbekistan,Japan,2021,1300
Azerbaijan,Germany,2020,1298
Vietnam,New Zealand,2017,1296.73696
Mongolia,United States of America,2021,1293.32937
Turkmenistan,Kazakhstan,2017,1293
Israel,Italy,2021,1292
China,Poland,2020,1292
Kazakhstan,United Kingdom,2020,1288
Afghanistan,Saudi Arabia,2021,1277
Nepal,United Kingdom,2020,1276
Malaysia,Germany,2021,1275
unknown countries,Canada,2017,1275
South Korea,Hong Kong,2018,1273.012
Japan,Brazil,2018,1273
Kazakhstan,United Kingdom,2019,1272
Pakistan,South Korea,2018,1272
Malaysia,Ireland,2020,1271
Sri Lanka,United Kingdom,2020,1269
Sri Lanka,India,2017,1269
Oman,Jordan,2017,1268
Palestine,Qatar,2021,1259
Syrian Arab Republic,Malaysia,2021,1258
Mongolia,Australia,2019,1254
Kuwait,Australia,2017,1252
Sri Lanka,India,2019,1252
Iran,Azerbaijan,2021,1252
China,Ukraine,2017,1252
Sri Lanka,India,2018,1248
Uzbekistan,Latvia,2019,1243
Yemen,Jordan,2018,1243
Turkey,Canada,2018,1242.12618
China,Denmark,2019,1237
Malaysia,India,2018,1235
India,Latvia,2018,1233
Turkey,Poland,2017,1232
Philippines,New Zealand,2018,1226.86809
Pakistan,South Korea,2021,1222
Kazakhstan,Germany,2021,1218
India,Armenia,2019,1218
Indonesia,Türkiye,2019,1218
Saudi Arabia,Canada,2021,1218
Saudi Arabia,Jordan,2017,1217
United Arab Emirates,India,2017,1217
Malaysia,Germany,2019,1215
India,Saudi Arabia,2020,1205
Saudi Arabia,Bahrain,2017,1203
Bangladesh,South Korea,2021,1202
Kazakhstan,United Kingdom,2021,1201
Lebanon,Türkiye,2021,1199
Iran,Malaysia,2020,1199
Vietnam,New Zealand,2020,1197.32915
unknown countries,Türkiye,2017,1197
Sri Lanka,United Kingdom,2019,1197
Myanmar,Australia,2021,1196
Japan,France,2018,1195
Malaysia,Russia,2019,1194
Lebanon,United Kingdom,2018,1194
Indonesia,South Korea,2021,1185
Malaysia,New Zealand,2020,1184.51714
Turkey,North Macedonia,2017,1183
China,Denmark,2018,1182
Turkey,North Macedonia,2019,1182
Georgia,Armenia,2018,1176
Bangladesh,South Korea,2020,1176
Kazakhstan,Poland,2020,1172
Vietnam,Russia,2018,1170
Yemen,Qatar,2020,1169
Malaysia,Germany,2018,1168
Bangladesh,Saudi Arabia,2021,1168
Sri Lanka,India,2020,1168
Kyrgyzstan,Kazakhstan,2020,1161
Nepal,Finland,2017,1161
Japan,France,2019,1161
Turkey,Canada,2017,1161
India,Czechia,2021,1158
Brunei Darussalam,United Kingdom,2018,1157
India,Saudi Arabia,2019,1154
Oman,Jordan,2021,1147
India,Japan,2019,1145
Nepal,South Korea,2018,1144
Kazakhstan,Germany,2020,1143
Jordan,Hungary,2021,1143
Mongolia,Russia,2018,1139
South Korea,Hong Kong,2017,1138.336
Turkey,Hungary,2019,1138
Lebanon,Italy,2021,1137
Jordan,Qatar,2020,1134
Sri Lanka,United Kingdom,2018,1131
Israel,Italy,2018,1130
Iran,Sweden,2017,1128
Iran,India,2019,1127
Iran,Sweden,2018,1124
Turkey,Bulgaria,2020,1123
Lebanon,Germany,2019,1121
Bangladesh,South Korea,2019,1121
United Arab Emirates,India,2018,1121
China,Mongolia,2018,1118
Kyrgyzstan,Kazakhstan,2019,1117
Uzbekistan,Latvia,2018,1116
Bhutan,Australia,2017,1113
Turkey,Hungary,2018,1113
Sri Lanka,United Kingdom,2017,1113
Japan,Brazil,2017,1111
China,Denmark,2017,1107
Turkey,Poland,2018,1106
Palestine,Germany,2017,1103
Saudi Arabia,Jordan,2018,1102
Indonesia,Canada,2019,1101
Nepal,Finland,2018,1100
Malaysia,Canada,2018,1099.23501
Japan,France,2020,1098
Yemen,India,2021,1095
Malaysia,India,2019,1087
Indonesia,South Korea,2019,1087
Lebanon,United Kingdom,2017,1087
South Korea,New Zealand,2017,1086.81751
Turkey,Hungary,2020,1086
Malaysia,Canada,2020,1083
Israel,Ukraine,2017,1079
Philippines,Japan,2019,1079
Indonesia,South Korea,2020,1078
unknown countries,Türkiye,2018,1076
Uzbekistan,Türkiye,2019,1075
Sri Lanka,Canada,2021,1074
Thailand,Indonesia,2017,1074
Armenia,France,2017,1070
Uzbekistan,Belarus,2021,1070
Israel,Italy,2017,1068
Yemen,Jordan,2019,1066
Bangladesh,Saudi Arabia,2020,1062
Nepal,Germany,2019,1058
Pakistan,Sweden,2020,1055.94806
Cambodia,Australia,2017,1054
Palestine,Qatar,2020,1054
Malaysia,Canada,2019,1050
United Arab Emirates,India,2019,1050
South Korea,New Zealand,2018,1049.42424
Azerbaijan,Germany,2019,1049
Uzbekistan,Japan,2020,1048
Myanmar,Australia,2018,1047
Georgia,Armenia,2019,1045
Yemen,Qatar,2019,1045
China,Belgium,2021,1044
India,Mauritius,2021,1041
Kyrgyzstan,Kazakhstan,2018,1041
Sri Lanka,Belarus,2021,1040
Pakistan,Qatar,2021,1039
Iraq,United States of America,2020,1035.45845
South Korea,New Zealand,2019,1035.09258
India,Switzerland,2021,1034
Mongolia,Russia,2017,1034
Malaysia,Canada,2017,1032
Mongolia,Australia,2018,1030
Jordan,Qatar,2019,1028
Georgia,Armenia,2017,1026
Nepal,Finland,2019,1026
Iran,Sweden,2019,1025.50687
Uzbekistan,Latvia,2017,1025
Jordan,Qatar,2018,1025
India,Finland,2021,1021
Pakistan,South Korea,2017,1020
Jordan,Germany,2017,1020
Malaysia,Germany,2017,1018
Palestine,Qatar,2019,1017
Vietnam,Russia,2019,1013
unknown countries,South Korea,2018,1012
Philippines,New Zealand,2019,1010.57008
unknown countries,South Korea,2017,1010
United Arab Emirates,Malaysia,2021,1009
Iran,Ukraine,2021,1007
Indonesia,South Korea,2018,1006
Jordan,Türkiye,2017,1006
Jordan,Ukraine,2021,1004
Pakistan,Sweden,2021,1003.82978
Kazakhstan,Malaysia,2017,1002
Malaysia,Ireland,2021,1000
Iran,Sweden,2020,998.28473
unknown countries,South Korea,2019,998
Palestine,Malaysia,2017,996
Lebanon,Germany,2018,996
Iran,Azerbaijan,2020,996
Thailand,Indonesia,2018,996
Afghanistan,Saudi Arabia,2019,994
India,South Korea,2020,994
India,Switzerland,2020,993
Nepal,Germany,2018,993
Bangladesh,Saudi Arabia,2019,991
China,Kazakhstan,2020,989
Myanmar,Australia,2017,986
China,Poland,2018,983
China,Poland,2019,983
Yemen,Qatar,2018,983
Jordan,Hungary,2020,981
India,Qatar,2021,981
India,South Korea,2019,980
India,South Korea,2021,979
India,Czechia,2020,978
Iran,Belarus,2018,977
Vietnam,New Zealand,2021,976.75477
Iraq,Georgia,2017,974
Bangladesh,Sweden,2020,973.07294
Mongolia,Kazakhstan,2020,973
unknown countries,Poland,2020,973
Iraq,Ukraine,2018,972
Palestine,Qatar,2018,972
Jordan,Qatar,2017,972
China,Mongolia,2017,969
Turkey,Hungary,2017,967
Yemen,Qatar,2017,967
Bangladesh,Finland,2021,964
Kazakhstan,Germany,2019,963
Saudi Arabia,Ireland,2018,963
Kuwait,Saudi Arabia,2017,962
India,Japan,2018,962
Cambodia,United States of America,2021,961.72503
unknown countries,Türkiye,2019,961
Malaysia,Canada,2021,960
South Korea,New Zealand,2020,958.11125
unknown countries,South Korea,2020,958
Afghanistan,Saudi Arabia,2020,958
Iran,Sweden,2021,957.57662
Kazakhstan,Germany,2018,956
Cyprus,Germany,2020,956
United Arab Emirates,Australia,2018,956
Oman,Jordan,2018,955
Indonesia,Canada,2018,950.51968
Oman,Malaysia,2021,950
Oman,Malaysia,2019,947
India,Indonesia,2018,947
Brunei Darussalam,United Kingdom,2019,947
United Arab Emirates,Australia,2019,945
Lao People's Democratic Republic,Thailand,2020,944
Kuwait,Saudi Arabia,2021,943
Lebanon,Italy,2018,943
Sri Lanka,New Zealand,2019,940.83844
Iran,Malaysia,2021,940
Sri Lanka,Russia,2020,938
China,Poland,2017,937
Pakistan,Italy,2020,936
Iran,Malaysia,2019,934
Malaysia,Jordan,2019,932
India,Hungary,2021,932
India,Lithuania,2019,931
Mongolia,Russia,2019,931
Syrian Arab Republic,Netherlands,2019,930
Bangladesh,South Korea,2018,930
Vietnam,Netherlands,2019,929
unknown countries,Poland,2021,929
Lebanon,Ukraine,2021,928
Philippines,Canada,2018,926.05529
Kuwait,Saudi Arabia,2018,924
Pakistan,Hungary,2021,923
Malaysia,Jordan,2018,923
India,Mauritius,2020,921
Cyprus,Germany,2018,920
Indonesia,South Korea,2017,919
India,Armenia,2017,918
Saudi Arabia,Jordan,2019,917
unknown countries,South Korea,2021,917
China,Belgium,2020,917
Syrian Arab Republic,Qatar,2021,916
Lebanon,Iran,2019,914
Yemen,Jordan,2020,913
Turkey,Poland,2019,910
Cyprus,Germany,2019,910
Nepal,Finland,2020,907
Bangladesh,Cyprus,2020,907
Japan,France,2021,906
India,Indonesia,2017,906
Nepal,Germany,2017,904
Oman,Malaysia,2020,904
unknown countries,Argentina,2018,901.25189
Nepal,New Zealand,2019,901.00309
Azerbaijan,Georgia,2021,901
Lebanon,Russia,2020,901
Lebanon,Russia,2021,900
Palestine,Qatar,2017,899
South Korea,Netherlands,2019,898
Thailand,Germany,2020,897
Philippines,Saudi Arabia,2021,896
Azerbaijan,Germany,2018,894
Turkey,Bosnia and Herzegovina,2019,893
Nepal,Finland,2021,893
Lebanon,Canada,2021,891
Azerbaijan,Poland,2021,890
Thailand,Malaysia,2017,890
Turkey,Switzerland,2021,890
Malaysia,Russia,2020,889
Indonesia,Canada,2017,888
unknown countries,Poland,2019,888
India,Qatar,2020,887
India,South Korea,2018,886
Sri Lanka,New Zealand,2020,883.04874
Georgia,Armenia,2020,883
Sri Lanka,New Zealand,2018,882.859
Uzbekistan,Kyrgyzstan,2018,882
Cyprus,Germany,2021,881
China,Norway,2020,881
United Arab Emirates,Australia,2020,881
Thailand,Malaysia,2019,881
India,Switzerland,2019,879
Uzbekistan,Germany,2021,879
United Arab Emirates,Germany,2021,879
Pakistan,Hungary,2020,878
Iraq,Germany,2021,878
Pakistan,Sweden,2019,877.20523
"Macao",France,2017,876
India,Japan,2017,873
Sri Lanka,Canada,2020,873
Kuwait,Bahrain,2021,871
unknown countries,Türkiye,2020,870
Thailand,Germany,2021,869
Turkmenistan,Tajikistan,2017,869
Saudi Arabia,Poland,2017,867
Iran,Belarus,2017,866
Iran,India,2020,864
Vietnam,Thailand,2020,863
unknown countries,Türkiye,2021,863
Sri Lanka,New Zealand,2017,862.86083
Turkey,Netherlands,2019,862
China,Saudi Arabia,2017,862
Lebanon,Ukraine,2020,862
Sri Lanka,India,2021,862
India,Hungary,2020,862
Philippines,Canada,2017,861
United Arab Emirates,Malaysia,2020,860
Lebanon,Italy,2017,860
Bangladesh,Saudi Arabia,2017,857
Nepal,New Zealand,2020,856.12915
Philippines,Japan,2018,852
United Arab Emirates,Australia,2017,850
Georgia,Armenia,2021,849
India,Finland,2020,849
Sri Lanka,Russia,2021,848
Georgia,Russia,2018,847
Indonesia,France,2020,846
Turkey,Bulgaria,2021,844
Syrian Arab Republic,Russia,2019,843
Pakistan,Qatar,2020,843
Brunei Darussalam,Malaysia,2020,842
Brunei Darussalam,Malaysia,2017,841
Indonesia,France,2019,840
Uzbekistan,Türkiye,2018,840
Palestine,Malaysia,2021,839
Syrian Arab Republic,Hungary,2021,839
Malaysia,France,2017,839
Syrian Arab Republic,United States of America,2017,838.70673
Jordan,Russia,2019,838
Oman,Australia,2019,837
Malaysia,Jordan,2021,837
unknown countries,Poland,2018,835
Bangladesh,Sweden,2019,834.09968
Mongolia,Türkiye,2017,833
Philippines,New Zealand,2020,832.68723
China,Norway,2021,830
Pakistan,Kyrgyzstan,2019,830
Turkey,Hungary,2021,829
Israel,Italy,2020,827
Syrian Arab Republic,Qatar,2020,827
Thailand,Malaysia,2020,826
Turkey,Netherlands,2018,825
Iran,Belarus,2019,825
Brunei Darussalam,United Kingdom,2020,824
Sri Lanka,Belarus,2020,824
Turkey,Switzerland,2020,824
United Arab Emirates,Australia,2021,823
Indonesia,France,2017,822
Iraq,Georgia,2018,821
Bangladesh,Finland,2020,821
Syrian Arab Republic,Iran,2018,819
Malaysia,Russia,2021,816
Azerbaijan,Italy,2018,815
India,Czechia,2019,815
Kuwait,Bahrain,2020,814
Iraq,India,2017,813
Indonesia,France,2021,812
Bangladesh,Saudi Arabia,2018,809
Indonesia,France,2018,808
Pakistan,Sweden,2018,806
Pakistan,Sweden,2017,805
India,Spain,2020,805
Saudi Arabia,Jordan,2020,804
Lebanon,Ukraine,2019,803
Syrian Arab Republic,Iran,2019,803
Bangladesh,Cyprus,2019,803
Lebanon,Iran,2020,802
Turkey,Australia,2020,802
Pakistan,Finland,2021,802
Iraq,United States of America,2021,801.77253
China,Czechia,2020,801
Iraq,Germany,2020,801
India,Hong Kong,2020,800
Cambodia,United States of America,2020,798.9194
Lebanon,Canada,2020,798
Palestine,Russia,2020,797
Kazakhstan,South Korea,2021,797
Philippines,United Kingdom,2019,793
India,Switzerland,2018,792
Indonesia,Türkiye,2018,792
Mongolia,Australia,2017,791
Pakistan,Italy,2019,791
Jordan,Hungary,2019,791
Vietnam,Hungary,2021,791
India,Finland,2019,789
Vietnam,Netherlands,2018,788
Qatar,United States of America,2020,787.75139
Yemen,Jordan,2021,784
Armenia,Germany,2021,782
India,Lithuania,2020,780
Kuwait,Bahrain,2017,779
Turkey,Australia,2021,779
Armenia,Germany,2020,779
Turkey,Switzerland,2019,779
Kuwait,Bahrain,2019,778
Uzbekistan,Germany,2020,777
China,Portugal,2020,777
Malaysia,New Zealand,2021,776.5
India,Finland,2017,776
China,Portugal,2021,776
Iraq,United Kingdom,2018,776
India,South Korea,2017,775
Oman,Australia,2018,774
Singapore,Malaysia,2019,772
United Arab Emirates,Malaysia,2019,771
China,Norway,2018,771
Japan,Malaysia,2021,769
Saudi Arabia,Poland,2018,768
China,Saudi Arabia,2018,768
Nepal,New Zealand,2018,767.59859
China,Czechia,2021,767
Malaysia,South Korea,2019,767
"Macao",United Kingdom,2020,765
Indonesia,New Zealand,2019,764.7778
Kuwait,Australia,2018,764
Bangladesh,Finland,2019,764
Malaysia,South Korea,2018,763
Georgia,Russia,2019,763
India,Finland,2018,761
India,Spain,2021,761
Iraq,Georgia,2019,759
Kazakhstan,Poland,2019,759
Georgia,Türkiye,2018,758
India,Mauritius,2017,758
Philippines,United Kingdom,2018,758
Myanmar,South Korea,2021,757
Jordan,Canada,2021,756
Mongolia,Türkiye,2018,756
Kazakhstan,South Korea,2020,755
unknown countries,Poland,2017,755
Israel,Italy,2019,754
Georgia,Türkiye,2017,753
"Macao",Australia,2019,753
Syrian Arab Republic,United States of America,2018,752.61969
Turkey,Australia,2019,752
Malaysia,France,2018,752
South Korea,New Zealand,2021,751.36368
Bangladesh,Türkiye,2021,751
South Korea,Hungary,2020,751
Saudi Arabia,India,2021,751
Kazakhstan,Germany,2017,750
Syrian Arab Republic,Russia,2018,750
Singapore,Malaysia,2020,750
Georgia,Russia,2020,750
Kazakhstan,South Korea,2019,749
"Macao",United Kingdom,2019,748
Syrian Arab Republic,Qatar,2019,747
Brunei Darussalam,United Kingdom,2021,747
Cyprus,Germany,2017,745
Syrian Arab Republic,Hungary,2020,745
Lebanon,Germany,2017,742
Lebanon,Türkiye,2020,741
South Korea,Netherlands,2018,740
Malaysia,South Korea,2017,740
India,Switzerland,2017,737
Bangladesh,South Korea,2017,737
United Arab Emirates,Germany,2020,736
Uzbekistan,Türkiye,2017,736
Oman,Australia,2020,735
Malaysia,Jordan,2020,735
Turkey,Russia,2021,735
Philippines,Japan,2017,735
Thailand,Germany,2019,734
India,Belarus,2021,734
Indonesia,Türkiye,2017,732
Israel,Georgia,2021,732
Oman,Jordan,2019,732
Saudi Arabia,Ireland,2019,732
Yemen,Germany,2021,729
Afghanistan,Germany,2021,728
Vietnam,Czechia,2017,728
India,Hungary,2019,727
China,Saudi Arabia,2020,726
Lebanon,Belarus,2021,725
Iran,Russia,2018,724
Bangladesh,Cyprus,2017,724
Syrian Arab Republic,Iran,2020,723
Lebanon,Canada,2019,723
Palestine,Russia,2021,722
Bangladesh,Sweden,2018,721
Turkey,Russia,2020,721
India,Hong Kong,2019,719
India,Belgium,2021,717
Yemen,Germany,2020,717
Indonesia,New Zealand,2018,716.70395
Turkey,Australia,2018,716
South Korea,Hungary,2021,716
Pakistan,Hungary,2019,715
Philippines,Italy,2018,715
India,Latvia,2017,714
Azerbaijan,Germany,2017,712
Israel,Georgia,2020,712
Georgia,Türkiye,2019,710
Lebanon,Iran,2018,710
Malaysia,France,2019,710
Philippines,Saudi Arabia,2017,709
Jordan,Canada,2020,708
Pakistan,Finland,2017,708
China,Saudi Arabia,2019,707
Japan,Malaysia,2017,707
Indonesia,New Zealand,2017,705.31151
Nepal,Canada,2021,705
Azerbaijan,Hungary,2021,705
India,Hong Kong,2021,705
Malaysia,France,2020,705
Saudi Arabia,Germany,2021,704
Oman,Australia,2017,703
India,Spain,2019,703
Thailand,Germany,2018,702
Malaysia,South Korea,2020,702
Indonesia,New Zealand,2020,701.52712
Iran,Finland,2021,701
Iran,Netherlands,2018,701
Mongolia,Türkiye,2019,700
Oman,India,2021,699
"Macao",United Kingdom,2018,697
Kazakhstan,Canada,2021,696
Jordan,Russia,2018,696
"Macao",Australia,2018,695
Bahrain,Jordan,2017,695
Cambodia,Vietnam,2021,695
Kuwait,Bahrain,2018,694
Saudi Arabia,Ireland,2020,694
Cambodia,United States of America,2018,693.48197
Uzbekistan,Japan,2019,693
Tajikistan,Türkiye,2017,692
Myanmar,South Korea,2020,692
Pakistan,Cyprus,2017,691
Iran,Azerbaijan,2019,691
China,Austria,2021,690.97918
Vietnam,Hungary,2020,689
Vietnam,Malaysia,2017,688
Iran,Switzerland,2021,687
Turkey,Switzerland,2018,687
Bangladesh,Türkiye,2020,686
Vietnam,Czechia,2018,686
China,Portugal,2019,686
India,Czechia,2018,685
Syrian Arab Republic,Iran,2017,684
Azerbaijan,Italy,2021,684
Cambodia,Vietnam,2020,683
Georgia,Russia,2021,682
Kazakhstan,South Korea,2018,681
Armenia,Germany,2019,678
Pakistan,Finland,2018,675
Malaysia,Saudi Arabia,2017,675
Yemen,United States of America,2017,674.17408
India,Armenia,2018,674
Lebanon,Ukraine,2018,674
India,Lithuania,2021,673
Syrian Arab Republic,Qatar,2018,672
Philippines,Saudi Arabia,2018,669
Indonesia,Hong Kong,2020,669
Uzbekistan,Germany,2018,668
Azerbaijan,Hungary,2020,668
Iraq,Malaysia,2017,667
"Macao",Australia,2020,666
Uzbekistan,Malaysia,2017,666
Saudi Arabia,Qatar,2021,666
India,Belgium,2020,665
Sri Lanka,Russia,2019,665
Qatar,United States of America,2021,662.76835
Bangladesh,Sweden,2021,660.12035
Turkey,Netherlands,2017,660
Saudi Arabia,Poland,2019,659
India,Qatar,2019,659
Kazakhstan,South Korea,2017,659
Sri Lanka,Russia,2018,658
Tajikistan,Türkiye,2018,656
India,Belarus,2020,656
Armenia,Germany,2018,656
Turkey,Kyrgyzstan,2017,656
Georgia,Türkiye,2021,653
Uzbekistan,Germany,2019,653
China,Austria,2018,651.5
Kazakhstan,Canada,2020,651
Uzbekistan,Germany,2017,651
Singapore,Germany,2020,650
Azerbaijan,Italy,2020,650
Kazakhstan,Poland,2018,650
"Macao",United Kingdom,2021,650
Tajikistan,Türkiye,2019,649
China,Iran,2019,649
Kazakhstan,Poland,2017,649
Tajikistan,Türkiye,2020,648
Saudi Arabia,Ireland,2021,648
Singapore,Malaysia,2021,647
Japan,Malaysia,2020,646
Thailand,Malaysia,2021,646
Syrian Arab Republic,Romania,2021,645
Mongolia,Türkiye,2020,645
Georgia,United States of America,2020,644.15213
Yemen,Russia,2019,644
Malaysia,Saudi Arabia,2018,644
Turkey,Switzerland,2017,644
Jordan,Malaysia,2017,643
Bahrain,Saudi Arabia,2017,643
Iran,Qatar,2021,643
Azerbaijan,France,2021,643
Saudi Arabia,Jordan,2021,642
Nepal,Thailand,2020,642
Cambodia,France,2017,641
Philippines,United Kingdom,2017,640
Saudi Arabia,Germany,2020,639
Iran,Switzerland,2020,639
Nepal,Canada,2020,639
Bangladesh,Cyprus,2018,639
Pakistan,Qatar,2019,638
India,Lithuania,2018,637
Philippines,Saudi Arabia,2020,637
Syrian Arab Republic,India,2021,637
Georgia,Türkiye,2020,635
Bahrain,Jordan,2018,635
India,Qatar,2018,635
Iran,Norway,2021,635
South Korea,Malaysia,2021,634
Azerbaijan,United Kingdom,2017,633
Iraq,Romania,2017,632
Malaysia,South Korea,2021,632
Cambodia,Japan,2019,631
China,Austria,2020,630.31252
China,Indonesia,2017,630
Iraq,Ukraine,2019,630
India,Oman,2018,630
Philippines,Italy,2017,630
Nepal,Cyprus,2018,630
"Macao",Australia,2017,629
Uzbekistan,United Kingdom,2021,629
Uzbekistan,Poland,2020,629
China,Austria,2019,628.80482
Pakistan,Finland,2019,628
Syrian Arab Republic,Qatar,2017,627
Cambodia,Japan,2020,626
Tajikistan,Türkiye,2021,626
Indonesia,Hong Kong,2021,626
Kazakhstan,Hungary,2020,626
India,Spain,2018,626
South Korea,Hungary,2019,625
Sri Lanka,New Zealand,2021,624.79151
Turkey,Kyrgyzstan,2018,624
Afghanistan,Germany,2020,623
Iran,Switzerland,2019,622
South Korea,Italy,2017,621
Bangladesh,Finland,2017,620
Syrian Arab Republic,Hungary,2019,619
Lebanon,Australia,2018,619
Iran,Georgia,2020,618
Kazakhstan,Hungary,2021,618
Pakistan,Finland,2020,618
India,Hong Kong,2018,617
Brunei Darussalam,Malaysia,2021,616
Singapore,Germany,2021,615
Armenia,Germany,2017,615
Iran,Finland,2017,615
Iran,Netherlands,2017,614
Tajikistan,Kazakhstan,2020,613
Bangladesh,Finland,2018,613
Mongolia,Kazakhstan,2019,612
Cambodia,Vietnam,2019,612
Lebanon,Canada,2018,611.31831
China,Saudi Arabia,2021,611
Turkey,Australia,2017,610
Vietnam,Italy,2018,610
Iraq,Egypt,2020,609
"Macao",Australia,2021,608
Lebanon,Italy,2019,608
Lebanon,Belarus,2020,608
China,Belgium,2017,607
Nepal,United Kingdom,2017,606
Bahrain,Jordan,2019,606
Saudi Arabia,Qatar,2020,606
Jordan,Russia,2017,605
India,Republic of Moldova,2021,605
Myanmar,United Kingdom,2020,604
India,Austria,2021,601.36633
Syrian Arab Republic,Russia,2017,601
India,Oman,2019,600
Lebanon,Italy,2020,600
Israel,Russia,2020,600
Nepal,South Korea,2017,600
Kuwait,Ireland,2021,599
China,Portugal,2018,599
South Korea,Italy,2018,598
Yemen,Germany,2018,597
Myanmar,South Korea,2019,597
Nepal,United Kingdom,2019,596
Israel,Russia,2021,596
"Macao",United Kingdom,2017,595
Lebanon,Ukraine,2017,594
United Arab Emirates,Germany,2019,593
"Macao",United States of America,2017,592.0806
Singapore,Germany,2019,592
Philippines,Saudi Arabia,2019,592
Myanmar,United Kingdom,2019,592
unknown countries,India,2018,590
Mongolia,Türkiye,2021,589
Kuwait,Ireland,2020,588
South Korea,Russia,2020,588
Bahrain,Jordan,2021,588
Iran,Switzerland,2017,588
Sri Lanka,Canada,2019,588
Cambodia,Japan,2021,587
South Korea,Netherlands,2017,587
Iran,Switzerland,2018,587
Bangladesh,Türkiye,2019,585
Indonesia,Hong Kong,2019,584
Bahrain,Jordan,2020,584
Turkey,Bosnia and Herzegovina,2020,584
Sri Lanka,Belarus,2019,584
Saudi Arabia,Poland,2020,583
Nepal,New Zealand,2017,582.94113
Georgia,United States of America,2021,582.76745
Vietnam,Czechia,2019,582
Indonesia,New Zealand,2021,581.22014
Mongolia,Hungary,2021,581
Syrian Arab Republic,India,2020,580
Azerbaijan,France,2020,580
Pakistan,Bahrain,2019,580
Philippines,Jordan,2020,579
Pakistan,Kyrgyzstan,2018,579
Georgia,United States of America,2018,578.72881
Israel,Hungary,2017,577
China,Austria,2017,576.5
Kazakhstan,Canada,2019,576
Lebanon,Canada,2017,576
Jordan,Bahrain,2019,576
Iran,Georgia,2021,575
Lebanon,Australia,2017,575
Saudi Arabia,Qatar,2019,574
India,Tajikistan,2017,573
Jordan,Bahrain,2017,573
Iran,India,2021,572
India,Bahrain,2019,572
China,Czechia,2019,572
Kazakhstan,Malaysia,2019,572
Bahrain,Saudi Arabia,2018,571
Yemen,Germany,2017,570
Yemen,Germany,2019,570
India,Qatar,2017,569
Uzbekistan,Kyrgyzstan,2017,568
Jordan,Bahrain,2018,567
Uzbekistan,United States of America,2018,566.8813
Saudi Arabia,New Zealand,2017,566.32124
Pakistan,Bahrain,2018,566
China,Argentina,2017,566
Jordan,Hungary,2018,565
Azerbaijan,Hungary,2019,565
Kazakhstan,Italy,2021,565
unknown countries,India,2017,564
unknown countries,Hong Kong,2021,564
Tajikistan,Kazakhstan,2019,563
Georgia,United States of America,2017,561.3418
Yemen,United States of America,2018,561.15112
Pakistan,Qatar,2018,561
South Korea,Russia,2019,560
South Korea,Italy,2019,560
Japan,Hungary,2020,560
Israel,Hungary,2018,559
Lebanon,Australia,2019,559
South Korea,Russia,2021,558
Syrian Arab Republic,Romania,2018,557
Iraq,Ukraine,2020,557
Iran,Finland,2018,557
China,Belgium,2019,557
Pakistan,Bahrain,2017,556
Azerbaijan,United States of America,2021,555.83658
Syrian Arab Republic,Romania,2020,555
Kuwait,Ireland,2019,554
India,Republic of Moldova,2020,554
Saudi Arabia,India,2020,552
Malaysia,France,2021,552
Azerbaijan,United Kingdom,2018,551
Pakistan,Cyprus,2018,551
India,Oman,2020,550
Singapore,Germany,2018,549
Afghanistan,Malaysia,2019,549
Vietnam,Poland,2021,548
Syrian Arab Republic,Austria,2021,546.89667
Cambodia,United States of America,2017,546.61325
Azerbaijan,United Kingdom,2020,546
Israel,United Kingdom,2020,546
South Korea,Hungary,2018,546
Uzbekistan,United States of America,2020,545.55123
Israel,United Kingdom,2019,545
Iran,Belarus,2020,545
Azerbaijan,United States of America,2020,544.51323
Afghanistan,United States of America,2017,544.34497
Kuwait,Australia,2019,544
Thailand,Germany,2017,544
Uzbekistan,United States of America,2021,543.42637
Vietnam,Hungary,2019,543
India,Bahrain,2020,542
Iraq,India,2018,542
Afghanistan,Kazakhstan,2018,542
Iran,Finland,2019,540
Indonesia,Russia,2020,540
China,Iran,2018,539
Iraq,Georgia,2020,539
Kyrgyzstan,Germany,2021,538
India,Oman,2017,538
Iran,Spain,2021,538
Myanmar,United Kingdom,2018,538
Vietnam,Netherlands,2017,537
Philippines,Jordan,2019,536
Syrian Arab Republic,Romania,2017,535
Iran,Qatar,2020,535
Qatar,India,2021,535
Iran,Azerbaijan,2017,535
Syrian Arab Republic,Ukraine,2021,534
Iran,Finland,2020,534
Mongolia,Hungary,2020,533
Japan,Hungary,2021,533
India,Spain,2017,533
Turkey,Kyrgyzstan,2020,532
Israel,Hungary,2019,531
Jordan,Canada,2019,531
Israel,United Kingdom,2021,529
Azerbaijan,United Kingdom,2019,528
Iraq,Germany,2019,528
Syrian Arab Republic,Romania,2019,527
Saudi Arabia,Germany,2019,527
Oman,Malaysia,2017,527
Palestine,Ukraine,2019,527
"Macao",United States of America,2018,525.90711
Indonesia,Russia,2021,524
Cambodia,Japan,2018,523
Syrian Arab Republic,Norway,2021,523
Iran,Spain,2020,523
Pakistan,Norway,2021,523
